group_no,attempt_no,turn_no,num_action,duration,num_add,num_del,num_edit,freq_add,freq_del
11,2,19,6,5.262999999999977,0,0,0,-1.0,2.0
11,3,19,2,14.358000000000004,2,0,2,1.0,0.0
11,3,20,2,7.507000000000005,2,0,2,1.0,0.0
11,3,21,2,3.8149999999999977,2,0,2,1.0,0.0
11,3,22,2,5.986000000000047,2,0,2,1.0,0.0
11,3,23,2,18.510999999999967,2,0,2,1.0,0.0
11,3,24,2,3.33400000000006,2,0,2,1.0,0.0
11,3,25,6,29.15799999999996,0,0,0,-1.0,2.0
11,4,25,2,14.639999999999986,2,0,2,1.0,0.0
11,4,26,2,17.52000000000004,2,0,2,1.0,0.0
11,4,27,2,6.7830000000000155,2,0,2,1.0,0.0
11,4,28,2,5.600999999999999,2,0,2,1.0,0.0
11,4,29,2,14.493999999999915,2,0,2,1.0,0.0
11,4,30,3,26.450000000000045,2,0,2,1.0,0.0
11,4,31,8,11.879999999999995,0,0,0,-1.0,2.0
11,5,31,2,12.136999999999944,2,0,2,1.0,0.0
11,5,32,2,14.367000000000075,2,0,2,1.0,0.0
11,5,33,2,5.515999999999963,1,1,2,0.5,0.5
11,5,34,2,10.642000000000053,2,0,2,1.0,0.0
11,5,35,2,4.780999999999949,2,0,2,1.0,0.0
11,5,36,2,8.447999999999979,2,0,2,1.0,0.0
11,5,37,9,12.901000000000067,0,0,0,-1.0,2.0
11,6,37,18,44.38799999999992,2,0,2,1.0,0.0
11,6,38,2,5.641000000000076,2,0,2,1.0,0.0
11,6,39,2,4.531999999999925,2,0,2,1.0,0.0
11,6,40,2,4.97300000000007,2,0,2,1.0,0.0
11,6,41,2,8.529999999999973,1,1,2,0.5,0.5
11,6,42,2,10.141000000000076,2,0,2,1.0,0.0
11,6,43,7,36.37699999999995,1,0,1,1.0,0.0
11,7,43,2,22.879999999999995,2,0,2,1.0,0.0
11,7,44,2,12.440999999999917,2,0,2,1.0,0.0
11,7,45,4,13.724000000000046,2,0,2,1.0,0.0
11,7,46,2,8.063000000000102,2,0,2,1.0,0.0
11,7,47,10,9.146999999999935,1,0,1,1.0,0.0
11,8,47,2,14.506999999999948,2,0,2,1.0,0.0
11,8,48,6,11.841999999999985,2,0,2,1.0,0.0
11,8,49,4,6.326999999999998,2,0,2,1.0,0.0
11,8,50,2,21.301000000000045,2,0,2,1.0,0.0
11,8,51,8,11.990000000000009,1,0,1,1.0,0.0
11,9,51,3,18.076999999999998,2,0,2,1.0,0.0
11,9,52,2,10.156999999999925,2,0,2,1.0,0.0
11,9,53,4,15.541000000000054,2,0,2,1.0,0.0
11,9,54,2,11.77699999999993,2,0,2,1.0,0.0
11,9,55,2,13.468000000000075,2,0,2,1.0,0.0
11,9,56,6,2.0260000000000673,0,0,0,-1.0,2.0
11,10,56,24,48.61500000000001,2,0,2,1.0,0.0
11,10,57,10,56.7829999999999,2,0,2,1.0,0.0
11,10,58,7,101.95000000000005,2,0,2,1.0,0.0
11,10,59,4,81.34500000000003,2,0,2,1.0,0.0
11,10,60,10,27.781999999999925,1,0,1,1.0,0.0
11,11,60,6,46.756999999999834,2,0,2,1.0,0.0
11,11,61,4,55.79100000000017,2,0,2,1.0,0.0
11,11,62,7,37.78500000000008,2,0,2,1.0,0.0
11,11,63,2,36.554999999999836,1,1,2,0.5,0.5
11,11,64,10,47.69300000000021,2,0,2,1.0,0.0
11,11,65,10,48.5,1,0,1,1.0,0.0
11,12,65,4,14.865000000000009,2,0,2,1.0,0.0
11,12,66,9,7.923999999999978,0,0,0,-1.0,2.0
12,1,1,6,94.29999999999998,2,0,2,1.0,0.0
12,1,2,3,18.161000000000016,2,0,2,1.0,0.0
12,1,3,2,20.722999999999985,2,0,2,1.0,0.0
12,1,4,2,8.062000000000012,2,0,2,1.0,0.0
12,1,5,3,16.942000000000007,2,0,2,1.0,0.0
12,1,6,11,15.435999999999979,0,0,0,-1.0,2.0
12,2,6,7,68.34700000000001,2,0,2,1.0,0.0
12,2,7,3,28.818000000000012,2,0,2,1.0,0.0
12,2,8,3,35.27999999999997,2,0,2,1.0,0.0
12,2,9,2,44.24100000000004,2,0,2,1.0,0.0
12,2,10,2,17.853999999999985,2,0,2,1.0,0.0
12,2,11,2,9.592999999999961,2,0,2,1.0,0.0
12,2,12,10,15.838000000000022,1,0,1,1.0,0.0
12,3,12,7,59.82600000000002,1,1,2,0.5,0.5
12,3,13,3,37.38199999999995,2,0,2,1.0,0.0
12,3,14,3,53.25300000000004,2,0,2,1.0,0.0
12,3,15,10,46.46300000000008,1,1,2,0.5,0.5
12,3,16,2,25.468999999999937,1,1,2,0.5,0.5
12,3,17,5,17.682999999999993,2,0,2,1.0,0.0
12,3,18,2,59.56200000000001,2,0,2,1.0,0.0
12,3,19,2,6.449000000000069,2,0,2,1.0,0.0
12,3,20,8,21.199999999999932,1,0,1,1.0,0.0
12,4,20,2,28.01299999999992,2,0,2,1.0,0.0
12,4,21,2,22.874000000000137,2,0,2,1.0,0.0
12,4,22,3,20.51299999999992,1,1,2,0.5,0.5
12,4,23,2,6.405999999999949,2,0,2,1.0,0.0
12,4,24,2,24.743000000000052,1,1,2,0.5,0.5
12,4,25,2,12.552999999999997,2,0,2,1.0,0.0
12,4,26,2,7.029999999999973,2,0,2,1.0,0.0
12,4,27,9,18.976,0,1,1,0.0,1.0
12,5,27,3,55.668000000000006,2,0,2,1.0,0.0
12,5,28,2,23.689000000000078,1,1,2,0.5,0.5
12,5,29,17,39.30899999999997,2,0,2,1.0,0.0
12,5,30,8,78.5,0,2,2,0.0,1.0
12,5,31,2,6.733999999999924,0,2,2,0.0,1.0
12,5,32,5,37.452999999999975,2,0,2,1.0,0.0
12,5,33,14,34.452,2,0,2,1.0,0.0
12,5,34,11,25.813000000000102,2,0,2,1.0,0.0
12,5,35,11,34.221000000000004,2,0,2,1.0,0.0
12,5,36,11,15.660000000000082,1,0,1,1.0,0.0
12,6,36,9,71.2539999999999,2,0,2,1.0,0.0
12,6,37,2,10.466000000000122,0,2,2,0.0,1.0
12,6,38,2,13.100999999999885,2,0,2,1.0,0.0
12,6,39,2,30.353999999999814,1,1,2,0.5,0.5
12,6,40,2,7.4240000000002055,0,2,2,0.0,1.0
12,6,41,2,11.295999999999822,2,0,2,1.0,0.0
12,6,42,10,79.70900000000029,2,0,2,1.0,0.0
12,6,43,17,31.519999999999982,2,0,2,1.0,0.0
12,6,44,4,16.787999999999784,2,0,2,1.0,0.0
12,6,45,7,6.90300000000002,1,0,1,1.0,0.0
12,7,45,9,70.28300000000013,2,0,2,1.0,0.0
12,7,46,33,107.49000000000001,2,0,2,1.0,0.0
12,7,47,2,5.588999999999942,2,0,2,1.0,0.0
